Title,Link
18-343 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272 and implement the 2019 fees and charges,https://www.hamilton.ca/sites/default/files/2022-05/18-343.pdf
"zoning compliance review – full information package and checklist(pdf, 481.64 kb)",https://www.hamilton.ca/sites/default/files/2024-02/zoning-compliance-review-package-checklist-2024.pdf
09-227 whistleblower by-law,https://www.hamilton.ca/sites/default/files/2022-03/09-227.pdf
"09-040 to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-02/09-040.pdf
4513-99 tree protection by-law (dundas),https://www.hamilton.ca/sites/default/files/2022-02/private-property-dundas-4513-99-amendments.pdf
07-160 the idling control by-law,https://www.hamilton.ca/sites/default/files/2022-05/07-160-consolidated.pdf
"24-051 to amend zoning by-law no. 05-200 for updates and amendments to the low density residential (ri) and low density residential - small lot (ri a) zones, and creation of a new low density residential - large lot (r2) zone, repeal and replacement of section 5",https://www.hamilton.ca/sites/default/files/2024-05/24-051.pdf
"by-law no. 20-221 - office consolidation(pdf, 353.72 kb)",https://www.hamilton.ca/sites/default/files/2022-04/20-221-consolidated.pdf
18-014 to amend zoning by-law no. 464 (glanbrook),https://www.hamilton.ca/sites/default/files/2022-05/18-014.pdf
"15-177 to amend by-law no. 12-031, a by-law for responsible animal ownership",https://www.hamilton.ca/sites/default/files/2022-06/15-177.pdf
04-280 to amend property standards by-law no. 03-117,https://www.hamilton.ca/sites/default/files/2022-03/04-280-Repealed.pdf
"development charges information pamphlet effective june 1 to june 30, 2024(pdf, 1.69 mb)",https://www.hamilton.ca/sites/default/files/2024-05/development-charges-pamphlet-rates-june12024-jun302024.pdf
"advisory group summary(pdf, 1.66 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-advisorygroup-summary.pdf
"section: 12.3 - settlement residential (s1) zone(pdf, 137.34 kb)",https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section12-3-s1zone-apr2024.pdf
22-074 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-06/22-074.pdf
"22-018 to amend by-law no. 16-290, council code of conduct",https://www.hamilton.ca/sites/default/files/2022-06/22-018.pdf
21-063 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-03/21-063.pdf
"section: 11.3 - multiple residential (toc3) zone(pdf, 149.35 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section11-3-toc3zone-jul2022.pdf
"section: 10.6 - district commercial (c6) zone(pdf, 76.48 kb)",https://www.hamilton.ca/sites/default/files/2023-07/zoningby-law05-200-section10-6-c6zone-jul2023.pdf
"22-035 to amend by-law no. 21-021, a by-law to govern the proceedings of council and committees of council",https://www.hamilton.ca/sites/default/files/2022-06/22-035.pdf
18-114 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/18-114-NotFinal.pdf
21-189 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-03/21-189.pdf
15-246 to establish an interim control zoning by-law,https://www.hamilton.ca/sites/default/files/2022-06/15-246.pdf
"14-121 to amend by-law no. 12-031, a by-law for responsible animal ownership",https://www.hamilton.ca/sites/default/files/2022-06/14-121.pdf
18-219 to amend zoning by-law no. 05-200 (hamilton),https://www.hamilton.ca/sites/default/files/2022-05/18-219.pdf
"by-law no. 03-173(pdf, 61.33 kb)",https://www.hamilton.ca/sites/default/files/2022-01/standing-water-by-law-03-173.pdf
"24-045 to amend by-law no. 12-151, being a by-law respecting the city of hamilton’s cemeteries, as amended",https://www.hamilton.ca/sites/default/files/2024-04/24-045.pdf
78-80 to amend motorized snow vehicles by-law n0. 71-23,https://www.hamilton.ca/sites/default/files/2022-06/78-80.pdf
"section 1: administration(pdf, 161.41 kb)",https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section1-admin-apr2024.pdf
11-314 to amend the sewer use by-law no. 04-150,https://www.hamilton.ca/sites/default/files/2022-03/11-314.pdf
"18-301 to amend by-law 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-05/18-301.pdf
"09-039 to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-02/09-039.pdf
18-015 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-05/18-015.pdf
"development charges update study to dc by-law 19-142(pdf, 1.68 mb)",https://www.hamilton.ca/sites/default/files/2022-04/developmentcharges-updatestudy-2021.pdf
07-111 to amend zoning by-law no. 05-200 - housekeeping amendments,https://www.hamilton.ca/sites/default/files/2022-02/07-111.pdf
"township of glanbrook zoning by-law 464(pdf, 4.16 mb)",https://www.hamilton.ca/sites/default/files/2023-11/glanbrook-zoning-by-law-464-nov2023.pdf
"20-100 to amend by-law no. 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-04/20-100.pdf
"10-121 to amend by-law no. 03-020, to regulate noise in the city of hamilton",https://www.hamilton.ca/sites/default/files/2022-03/10-121.pdf
"11-111 to amend by-law no. 07-170, a by-law to license and regulate various businesses and to amend by-law no. 10-221, a by-law to prescribe standards for the maintenance and occupancy of property",https://www.hamilton.ca/sites/default/files/2022-03/11-111.pdf
"section: 9.9 - airport reserve (m9) zone(pdf, 123.21 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section9-9-m9zone-nov2021.pdf
13-323 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272,https://www.hamilton.ca/sites/default/files/2022-04/13-323.pdf
"request to review(pdf, 157.57 kb)",https://www.hamilton.ca/sites/default/files/2024-01/MLE-request-review-bylaw-fees-application-2024.pdf
"16-123 to amend by-law no. 15-138, being a by-law to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-06/16-123.pdf
17-094 to amend tree by-laws of former area municipalities,https://www.hamilton.ca/sites/default/files/2022-05/17-094.pdf
13-098 to amend site alteration by-law no. 03-126,https://www.hamilton.ca/sites/default/files/2022-04/13-098-Repealed.pdf
15-173 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-06/15-173-NotFinal.pdf
6593 the zoning by-law of the former city of hamilton,https://www.hamilton.ca/sites/default/files/2022-12/hamilton-zoning-by-law-6593-nov2022.pdf
04-150 sewer use by-law,https://www.hamilton.ca/sites/default/files/2022-03/04-150-Repealed.pdf
20-173 to amend property standards by-law no. 10-221,https://www.hamilton.ca/sites/default/files/2022-04/20-173.pdf
05-200 zoning by-law section: 6.1 downtown central business district (d1) zone,https://www.hamilton.ca/sites/default/files/2022-05/zoningby-law05-200-section6-1-d1zone-nov2021.pdf
14-090 sewer use by-law,https://www.hamilton.ca/sites/default/files/2023-01/14-090-consolidation-jan2023.pdf
"complete permit to construct ground sign application form(pdf, 146.95 kb)",https://www.hamilton.ca/sites/default/files/2022-12/construction-building-permit-construct-demolish-application-form-dec2022.pdf
"23-005 to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2023-01/23-005.pdf
19-026 to amend site plan control by-law no. 15-176,https://www.hamilton.ca/sites/default/files/2022-04/19-026.pdf
07-359 to amend the sewer and drain by-law no. 06-026,https://www.hamilton.ca/sites/default/files/2024-01/07-359-repealed.pdf
05-200 zoning by-law section: 9.8 - airport related business (m8) zone,https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section9-8-m8zone-may2022.pdf
09-261 to amend the sanitary surcharge and wastewater abatement by-law no. 03-272,https://www.hamilton.ca/sites/default/files/2022-03/09-261.pdf
noise control by-law,https://www.hamilton.ca/sites/default/files/2022-03/11-285-consolidated-october-2021.pdf
"20-180 to amend by-law 07-170, to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-04/20-180.pdf
14-213 to amend tree by-laws of former area municipalities,https://www.hamilton.ca/sites/default/files/2022-06/14-213.pdf
"walking tour summary(pdf, 484.12 kb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-walkingtour-summary.pdf
22-031 to amend hamilton sign by-law no. 10-197,https://www.hamilton.ca/sites/default/files/2022-06/22-031.pdf
21-224 to amend the waterworks by-law no. r84-026,https://www.hamilton.ca/sites/default/files/2022-04/21-224.pdf
"by-law no. 17-030 omb-01(pdf, 1.17 mb)",https://www.hamilton.ca/sites/default/files/2022-05/17-030-omb-01.pdf
07-233 to amend zoning by-law no. 05-200,https://www.hamilton.ca/sites/default/files/2022-04/07-233.pdf
"town of ancaster zoning by-law 87-57(pdf, 3.38 mb)",https://www.hamilton.ca/sites/default/files/2023-09/ancaster-zoning-by-law-87-57-sep2023.pdf
10-002 to amend sewer use by-law no. 04-150,https://www.hamilton.ca/sites/default/files/2022-03/10-002-Repealed.pdf
16-161 to amend property standards by-law no. 10-221,https://www.hamilton.ca/sites/default/files/2022-06/16-161.pdf
09-110 public nuisance by-law,https://www.hamilton.ca/sites/default/files/2022-03/09-110-Repealed.pdf
86-77 streets by-law,https://www.hamilton.ca/sites/default/files/2022-06/86-077asamendedstreets.pdf
"14-212 urban woodland conservation by-law (trees - private property)(pdf, 854.42 kb)",https://www.hamilton.ca/sites/default/files/2022-06/14-212.pdf
"14-067 to amend by-law no. 12-031, for responsible animal ownership in the city of hamilton",https://www.hamilton.ca/sites/default/files/2022-06/14-067.pdf
"by-law 23-162(pdf, 263.39 kb)",https://www.hamilton.ca/sites/default/files/2023-09/23-162.pdf
"12-220 to amend by-law no. 12-031, a by-law for responsible animal ownership",https://www.hamilton.ca/sites/default/files/2022-04/12-220.pdf
09-090 to amend sewer use by-law by-law no. 04-150,https://www.hamilton.ca/sites/default/files/2022-03/09-090-Repealed.pdf
17-040 to amend by-law streets by-law no. 86-77 and traffic by-law no. 01-215,https://www.hamilton.ca/sites/default/files/2022-05/17-040.pdf
